family,species,category,invasiveness,growth_type,topography
Papaveraceae,Chelidonium majus var. asiaticum,native,N,herbaceous,ridge_summit
Athyriaceae,Athyrium niponicum,native,N,herbaceous,ridge_summit
Dioscoreaceae,Dioscorea japonica,native,N,herbaceous,ridge_summit
Asteraceae,Erigeron annuus,exotic,N,herbaceous,ridge_summit
Asteraceae,Xanthium strumarium,exotic,N,herbaceous,ridge_summit
Cannabaceae,Humulus japonicus,native,N,herbaceous,ridge_summit
Cucurbitaceae,Sicyos angulatus,exotic,Y,herbaceous,ridge_summit
Amaranthaceae,Achyranthes japonica,native,N,herbaceous,ridge_summit
Solanaceae,Solanum lyratum,native,N,herbaceous,ridge_summit
Asteraceae,Erigeron philadelphicus,exotic,N,herbaceous,ridge_summit
Asteraceae,Hemistepta lyrata,native,N,herbaceous,upper_slope
Lamiaceae,Leonurus japonicus,native,N,herbaceous,upper_slope
Fabaceae,Lespedeza cuneata,native,N,herbaceous,ridge_summit
Asteraceae,Artemisia keiskeana,native,N,herbaceous,ridge_summit
Rubiaceae,Rubia akane,native,N,herbaceous,ridge_summit
Brassicaceae,Arabis glabra,native,N,herbaceous,ridge_summit
Athyriaceae,Athyrium vidalii,native,N,herbaceous,ridge_summit
Dioscoreaceae,Dioscorea opposita,native,N,herbaceous,ridge_summit
Poaceae,Setaria viridis,native,N,herbaceous,ridge_summit
Asteraceae,Crepidiastrum denticulatum,native,NA,herbaceous,ridge_summit
Fabaceae,Amphicarpaea bracteata subsp. edgeworthii,native,N,herbaceous,ridge_summit
Poaceae,Oplismenus undulatifolius,native,N,herbaceous,ridge_summit
Commelinaceae,Commelina communis,native,N,herbaceous,ridge_summit
Polygonaceae,Polygonum hydropiper,native,N,herbaceous,ridge_summit
Asteraceae,Ixeridium dentatum,native,N,herbaceous,ridge_summit
Asteraceae,Lactuca indica var. laciniata,native,N,herbaceous,ridge_summit
Asteraceae,Taraxacum platycarpum,native,N,herbaceous,ridge_summit
Asteraceae,Aster subulatus,exotic,N,herbaceous,ridge_summit
Convolvulaceae,Calystegia sepium var. japonica,native,N,herbaceous,upper_slope
Fabaceae,Lotus corniculatus var. japonicus,exotic,N,herbaceous,upper_slope
Asteraceae,Lactuca indica var. laciniata,native,N,herbaceous,upper_slope
Asteraceae,Ambrosia trifida,exotic,Y,herbaceous,upper_slope
Poaceae,Setaria viridis,native,N,herbaceous,upper_slope
Asteraceae,Bidens frondosa,exotic,N,herbaceous,upper_slope
Equisetaceae,Equisetum arvense,native,N,herbaceous,upper_slope
Asteraceae,Eupatorium lindleyanum,native,N,herbaceous,upper_slope
Polygonaceae,Polygonum thunbergii,native,N,herbaceous,upper_slope
Cyperaceae,Kyllinga brevifolia,native,N,herbaceous,upper_slope
Poaceae,Paspalum thunbergii,native,N,herbaceous,upper_slope
Thelypteridaceae,Thelypteris palustris,native,N,herbaceous,upper_slope
Liliaceae,Asparagus schoberioides,native,N,herbaceous,upper_slope
Polygonaceae,Polygonum aviculare,native,N,herbaceous,upper_slope
Acanthaceae,Justicia procumbens,native,N,herbaceous,upper_slope
Poaceae,Panicum dichotomiflorum,exotic,N,herbaceous,upper_slope
Plantaginaceae,Plantago asiatica,native,N,herbaceous,upper_slope
Poaceae,Echinochloa crus-galli var. echinatum,native,N,herbaceous,upper_slope
Dioscoreaceae,Dioscorea opposita,native,N,herbaceous,upper_slope
Acanthaceae,Justicia procumbens,native,N,herbaceous,ridge_summit
Asteraceae,Erechtites hieraciifolius,exotic,N,herbaceous,ridge_summit
Rosaceae,Duchesnea chrysantha,native,N,herbaceous,ridge_summit
Oxalidaceae,Oxalis corniculata,exotic,N,herbaceous,ridge_summit
Apocynaceae,Metaplexis japonica,native,N,herbaceous,ridge_summit
Poaceae,Panicum dichotomiflorum,exotic,N,herbaceous,ridge_summit
Caryophyllaceae,Stellaria media,exotic,N,herbaceous,ridge_summit
Caryophyllaceae,Stellaria aquatica,native,N,herbaceous,ridge_summit
Poaceae,Echinochloa crus-galli,native,N,herbaceous,ridge_summit
Apiaceae,Hydrocotyle sibthorpioides,native,N,herbaceous,ridge_summit
Caryophyllaceae,Stellaria aquatica,native,N,herbaceous,valley_flatland
Polygonaceae,Polygonum thunbergii,native,N,herbaceous,valley_flatland
Cannabaceae,Humulus japonicus,native,N,herbaceous,valley_flatland
Poaceae,Echinochloa crus-galli,native,N,herbaceous,valley_flatland
Lamiaceae,Clinopodium chinense var. shibetchense,native,N,herbaceous,valley_flatland
Poaceae,Eragrostis ferruginea,native,N,herbaceous,valley_flatland
Poaceae,Setaria viridis,native,N,herbaceous,valley_flatland
Asteraceae,Artemisia princeps,native,N,herbaceous,valley_flatland
Cyperaceae,Cyperus microiria,native,N,herbaceous,valley_flatland
Poaceae,Eleusine indica,native,N,herbaceous,valley_flatland
Amaranthaceae,Amaranthus patulus,exotic,N,herbaceous,valley_flatland
Dioscoreaceae,Dioscorea opposita,native,N,herbaceous,valley_flatland
Fabaceae,Trifolium repens,exotic,N,herbaceous,valley_flatland
Plantaginaceae,Plantago asiatica,native,N,herbaceous,valley_flatland
Polygonaceae,Polygonum hydropiper,native,N,herbaceous,valley_flatland
Papaveraceae,Chelidonium majus var. asiaticum,native,N,herbaceous,valley_flatland
Asteraceae,Bidens frondosa,exotic,N,herbaceous,valley_flatland
Poaceae,Panicum dichotomiflorum,exotic,N,herbaceous,valley_flatland
Asteraceae,Sigesbeckia pubescens,native,N,herbaceous,valley_flatland
Phytolaccaceae,Phytolacca americana,exotic,N,herbaceous,valley_flatland
Poaceae,Setaria glauca,native,N,herbaceous,upper_slope
Commelinaceae,Commelina communis,native,N,herbaceous,upper_slope
Asteraceae,Erechtites hieraciifolius,exotic,N,herbaceous,upper_slope
Apocynaceae,Metaplexis japonica,native,N,herbaceous,upper_slope
Fabaceae,Glycine soja,native,N,herbaceous,upper_slope
Poaceae,Eragrostis ferruginea,native,N,herbaceous,upper_slope
Polygonaceae,Polygonum hydropiper,native,N,herbaceous,upper_slope
Cyperaceae,Cyperus microiria,native,N,herbaceous,upper_slope
Polygonaceae,Polygonum lapathifolium,native,N,herbaceous,upper_slope
Phytolaccaceae,Phytolacca americana,exotic,N,herbaceous,lower_slope
Liliaceae,Smilax nipponica,native,N,herbaceous,lower_slope
Poaceae,Setaria viridis,native,N,herbaceous,lower_slope
Poaceae,Oplismenus undulatifolius,native,N,herbaceous,lower_slope
Poaceae,Panicum dichotomiflorum,exotic,N,herbaceous,lower_slope
Rosaceae,Duchesnea chrysantha,native,N,herbaceous,lower_slope
Poaceae,Eleusine indica,native,N,herbaceous,lower_slope
Dioscoreaceae,Dioscorea opposita,native,N,herbaceous,lower_slope
Asteraceae,Eupatorium japonicum,native,N,herbaceous,upper_slope
Asteraceae,Crepidiastrum denticulatum,native,NA,herbaceous,upper_slope
Crassulaceae,Sedum sarmentosum,native,N,herbaceous,upper_slope
Amaranthaceae,Achyranthes japonica,native,N,herbaceous,upper_slope
Athyriaceae,Deparia pterorachis,native,N,herbaceous,upper_slope
Rosaceae,Agrimonia pilosa,native,N,herbaceous,upper_slope
Asteraceae,Dendranthema boreale,native,N,herbaceous,upper_slope
Asteraceae,Bidens tripartita,native,N,herbaceous,upper_slope
Rutaceae,Dictamnus dasycarpus,native,N,herbaceous,lower_slope
Rubiaceae,Galium verum var. asiaticum,native,N,herbaceous,lower_slope
Asteraceae,Atractylodes ovata,native,N,herbaceous,lower_slope
Poaceae,Spodiopogon sibiricus,native,N,herbaceous,lower_slope
Rosaceae,Sanguisorba officinalis,native,N,herbaceous,lower_slope
Rubiaceae,Rubia cordifolia var. pratensis,native,N,herbaceous,lower_slope
Lamiaceae,Isodon japonicus,native,N,herbaceous,lower_slope
Asteraceae,Solidago virgaurea subsp. asiatica,native,N,herbaceous,lower_slope
Fabaceae,Lespedeza pilosa,native,N,herbaceous,upper_slope
Rutaceae,Dictamnus dasycarpus,native,N,herbaceous,upper_slope
Cyperaceae,Carex siderosticta,native,N,herbaceous,upper_slope
Liliaceae,Smilax riparia,native,N,herbaceous,upper_slope
Asteraceae,Atractylodes ovata,native,N,herbaceous,upper_slope
Asteraceae,Erigeron strigosus,exotic,N,herbaceous,upper_slope
Rosaceae,Sanguisorba officinalis,native,N,herbaceous,upper_slope
Campanulaceae,Adenophora triphylla var. japonica,native,N,herbaceous,upper_slope
Pyrolaceae,Pyrola japonica,native,N,herbaceous,upper_slope
Pyrolaceae,Chimaphila japonica,native,N,herbaceous,upper_slope
Poaceae,Spodiopogon sibiricus,native,N,herbaceous,upper_slope
Cyperaceae,Carex lanceolata,native,N,herbaceous,ridge_summit
Rubiaceae,Rubia cordifolia var. pratensis,native,N,herbaceous,ridge_summit
Lamiaceae,Isodon excisus,native,N,herbaceous,ridge_summit
Rubiaceae,Galium verum var. asiaticum,native,N,herbaceous,ridge_summit
Poaceae,Spodiopogon sibiricus,native,N,herbaceous,ridge_summit
Pyrolaceae,Pyrola japonica,native,N,herbaceous,ridge_summit
Cyperaceae,Carex lanceolata,native,N,herbaceous,upper_slope
Fabaceae,Sophora flavescens,native,N,herbaceous,upper_slope
Lamiaceae,Isodon japonicus,native,N,herbaceous,upper_slope
Orchidaceae,Cephalanthera longibracteata,native,N,herbaceous,upper_slope
Crassulaceae,Sedum kamtschaticum,native,N,herbaceous,upper_slope
Rosaceae,Duchesnea chrysantha,native,N,herbaceous,upper_slope
Poaceae,Miscanthus sinensis,native,N,herbaceous,upper_slope
Asteraceae,Saussurea grandifolia,native,N,herbaceous,upper_slope
Asteraceae,Dendranthema zawadskii var. latilobum,native,N,herbaceous,upper_slope
Primulaceae,Lysimachia barystachys,native,N,herbaceous,upper_slope
Clusiaceae,Hypericum ascyron,native,N,herbaceous,upper_slope
Cyperaceae,Carex lanceolata,native,N,herbaceous,lower_slope
Campanulaceae,Adenophora grandiflora,native,N,herbaceous,upper_slope
Rubiaceae,Rubia cordifolia var. pratensis,native,N,herbaceous,upper_slope
Fabaceae,Lespedeza pilosa,native,N,herbaceous,lower_slope
Crassulaceae,Sedum sarmentosum,native,N,herbaceous,lower_slope
Rosaceae,Potentilla fragarioides,native,N,herbaceous,lower_slope
Asteraceae,Erigeron annuus,exotic,N,herbaceous,lower_slope
Asteraceae,Cirsium japonicum var. ussuriense,native,N,herbaceous,lower_slope
Cyperaceae,Carex siderosticta,native,N,herbaceous,lower_slope
Lamiaceae,Isodon excisus,native,N,herbaceous,lower_slope
Lamiaceae,Isodon excisus,native,N,herbaceous,upper_slope
Dennstaedtiaceae,Pteridium aquilinum var. latiusculum,native,N,herbaceous,upper_slope
Liliaceae,Clintonia udensis,native,N,herbaceous,upper_slope
Cyperaceae,Carex lanceolata,native,N,herbaceous,valley_flatland
Rubiaceae,Rubia cordifolia var. pratensis,native,N,herbaceous,valley_flatland
Ranunculaceae,Ranunculus japonicus,native,N,herbaceous,valley_flatland
Poaceae,Oplismenus undulatifolius,native,N,herbaceous,valley_flatland
Lamiaceae,Isodon excisus,native,N,herbaceous,valley_flatland
Commelinaceae,Commelina communis,native,N,herbaceous,valley_flatland
Asteraceae,Atractylodes ovata,native,N,herbaceous,valley_flatland
Rosaceae,Potentilla fragarioides,native,N,herbaceous,valley_flatland
Poaceae,Calamagrostis arundinacea,native,N,herbaceous,upper_slope
Poaceae,Paspalum dilatatum,exotic,N,herbaceous,upper_slope
Campanulaceae,Platycodon grandiflorus,native,N,herbaceous,upper_slope
Poaceae,Miscanthus sinensis,native,N,herbaceous,valley_flatland
Rubiaceae,Rubia akane,native,N,herbaceous,valley_flatland
Pyrolaceae,Pyrola japonica,native,N,herbaceous,lower_slope
Asteraceae,Dendranthema zawadskii var. latilobum,native,N,herbaceous,lower_slope
Orchidaceae,Cephalanthera longibracteata,native,N,herbaceous,lower_slope
Pyrolaceae,Chimaphila japonica,native,N,herbaceous,lower_slope
Asteraceae,Atractylodes ovata,native,N,herbaceous,ridge_summit
Liliaceae,Polygonatum odoratum var. pluriflorum,native,N,herbaceous,ridge_summit
Poaceae,Arundinella hirta,native,N,herbaceous,upper_slope
Rubiaceae,Galium verum var. asiaticum,native,N,herbaceous,upper_slope
Asteraceae,Solidago virgaurea subsp. asiatica,native,N,herbaceous,upper_slope
Fabaceae,Lespedeza cuneata,native,N,herbaceous,upper_slope
Geraniaceae,Geranium sibiricum,native,N,herbaceous,upper_slope
Poaceae,Arundinella hirta,native,N,herbaceous,lower_slope
Valerianaceae,Patrinia villosa,native,N,herbaceous,upper_slope
Asteraceae,Aster scaber,native,N,herbaceous,upper_slope
Caryophyllaceae,Silene firma,native,N,herbaceous,upper_slope
Violaceae,Viola orientalis,native,N,herbaceous,valley_flatland
Cyperaceae,Carex siderosticta,native,N,herbaceous,ridge_summit
Rosaceae,Potentilla fragarioides,native,N,herbaceous,ridge_summit
Poaceae,Melica onoei,native,N,herbaceous,lower_slope
Asteraceae,Aster scaber,native,N,herbaceous,lower_slope
Asteraceae,Saussurea gracilis,native,N,herbaceous,lower_slope
Phrymaceae,Phryma leptostachya var. oblongifolia,native,N,herbaceous,upper_slope
Fabaceae,Vigna angularis var. nipponensis,native,N,herbaceous,upper_slope
Liliaceae,Polygonatum odoratum var. pluriflorum,native,N,herbaceous,upper_slope
Liliaceae,Disporum smilacinum,native,N,herbaceous,upper_slope
Poaceae,Spodiopogon cotulifer,native,N,herbaceous,upper_slope
Solanaceae,Solanum lyratum,native,N,herbaceous,upper_slope
Apiaceae,Peucedanum terebinthaceum,native,N,herbaceous,upper_slope
Fabaceae,Vicia amoena,native,NA,herbaceous,upper_slope
Liliaceae,Smilax nipponica,native,N,herbaceous,upper_slope
Aristolochiaceae,Asarum sieboldii,native,N,herbaceous,upper_slope
Lamiaceae,Isodon inflexus,native,N,herbaceous,upper_slope
Caryophyllaceae,Pseudostellaria monantha,native,N,herbaceous,upper_slope
Asteraceae,Artemisia keiskeana,native,N,herbaceous,upper_slope
Primulaceae,Lysimachia clethroides,native,N,herbaceous,upper_slope
Violaceae,Viola selkirkii,native,N,herbaceous,upper_slope
Ranunculaceae,Thalictrum filamentosum,native,N,herbaceous,upper_slope
Dennstaedtiaceae,Pteridium aquilinum var. latiusculum,native,N,herbaceous,lower_slope
Orchidaceae,Cymbidium goeringii,native,N,herbaceous,lower_slope
Poaceae,Spodiopogon cotulifer,native,N,herbaceous,lower_slope
Lamiaceae,Isodon inflexus,native,N,herbaceous,lower_slope
Dioscoreaceae,Dioscorea quinqueloba,native,N,herbaceous,lower_slope
Asteraceae,Ainsliaea acerifolia,native,N,herbaceous,lower_slope
Liliaceae,Disporum smilacinum,native,N,herbaceous,lower_slope
Asteraceae,Artemisia keiskeana,native,N,herbaceous,lower_slope
Asteraceae,Artemisia stolonifera,native,N,herbaceous,lower_slope
Asteraceae,Lactuca raddeana,native,N,herbaceous,upper_slope
Asteraceae,Syneilesis palmata,native,N,herbaceous,upper_slope
Rubiaceae,Galium trifloriforme,native,N,herbaceous,upper_slope
Asteraceae,Ainsliaea acerifolia,native,N,herbaceous,upper_slope
Caryophyllaceae,Pseudostellaria palibiniana,native,N,herbaceous,upper_slope
Liliaceae,Convallaria keiskei,native,N,herbaceous,upper_slope
Asteraceae,Eupatorium japonicum,native,N,herbaceous,lower_slope
Caryophyllaceae,Pseudostellaria palibiniana,native,N,herbaceous,lower_slope
Rubiaceae,Rubia akane,native,N,herbaceous,lower_slope
Osmundaceae,Osmunda japonica,native,N,herbaceous,lower_slope
Asteraceae,Syneilesis palmata,native,N,herbaceous,lower_slope
Cyperaceae,Carex humilis var. nana,native,N,herbaceous,upper_slope
Liliaceae,Disporum smilacinum,native,N,herbaceous,ridge_summit
Lamiaceae,Isodon inflexus,native,N,herbaceous,ridge_summit
Dennstaedtiaceae,Pteridium aquilinum var. latiusculum,native,N,herbaceous,ridge_summit
Liliaceae,Smilax nipponica,native,N,herbaceous,ridge_summit
Primulaceae,Lysimachia clethroides,native,N,herbaceous,ridge_summit
Poaceae,Arundinella hirta,native,N,herbaceous,ridge_summit
Asteraceae,Artemisia stolonifera,native,N,herbaceous,ridge_summit
Asteraceae,Aster scaber,native,N,herbaceous,ridge_summit
Asteraceae,Artemisia stolonifera,native,N,herbaceous,upper_slope
Dryopteridaceae,Cyrtomium fortunei,native,N,herbaceous,upper_slope
Primulaceae,Lysimachia clethroides,native,N,herbaceous,lower_slope
Asteraceae,Ligularia fischeri,native,N,herbaceous,lower_slope
Vitaceae,Cayratia japonica,native,N,herbaceous,lower_slope
Phrymaceae,Phryma leptostachya var. oblongifolia,native,N,herbaceous,lower_slope
Asteraceae,Lactuca raddeana,native,N,herbaceous,lower_slope
Polygonaceae,Fallopia japonica,native,N,herbaceous,lower_slope
Solanaceae,Solanum lyratum,native,N,herbaceous,lower_slope
Cyperaceae,Carex humilis var. nana,native,N,herbaceous,lower_slope
Violaceae,Viola acuminata,native,N,herbaceous,valley_flatland
Phrymaceae,Phryma leptostachya var. oblongifolia,native,N,herbaceous,valley_flatland
Asteraceae,Erigeron annuus,exotic,N,herbaceous,valley_flatland
Primulaceae,Lysimachia clethroides,native,N,herbaceous,valley_flatland
Asteraceae,Aster scaber,native,N,herbaceous,valley_flatland
Asteraceae,Artemisia keiskeana,native,N,herbaceous,valley_flatland
Rutaceae,Dictamnus dasycarpus,native,N,herbaceous,valley_flatland
Liliaceae,Polygonatum odoratum var. pluriflorum,native,N,herbaceous,valley_flatland
Fabaceae,Vicia unijuga,native,NA,herbaceous,valley_flatland
Osmundaceae,Osmunda japonica,native,N,herbaceous,valley_flatland
Cyperaceae,Carex humilis var. nana,native,N,herbaceous,valley_flatland
Lamiaceae,Isodon inflexus,native,N,herbaceous,valley_flatland
Dryopteridaceae,Polystichum tripteron,native,N,herbaceous,valley_flatland
Liliaceae,Smilax nipponica,native,N,herbaceous,valley_flatland
Osmundaceae,Osmunda japonica,native,N,herbaceous,ridge_summit
Balsaminaceae,Impatiens textori,native,N,herbaceous,valley_flatland
Polygonaceae,Polygonum filiforme,native,N,herbaceous,valley_flatland
Violaceae,Viola collina,native,NA,herbaceous,valley_flatland
Asteraceae,Eupatorium japonicum,native,N,herbaceous,valley_flatland
Liliaceae,Convallaria keiskei,native,N,herbaceous,ridge_summit
Rutaceae,Dictamnus dasycarpus,native,N,herbaceous,ridge_summit
Urticaceae,Boehmeria platanifolia,native,N,herbaceous,valley_flatland
Solanaceae,Solanum nigrum,exotic,N,herbaceous,valley_flatland
Liliaceae,Lilium tsingtauense,native,N,herbaceous,valley_flatland
Fabaceae,Desmodium oldhamii,native,N,herbaceous,valley_flatland
Amaranthaceae,Achyranthes japonica,native,N,herbaceous,valley_flatland
Lamiaceae,Clinopodium chinense var. parviflorum,native,N,herbaceous,lower_slope
Polygonaceae,Polygonum senticosum,native,N,herbaceous,lower_slope
Urticaceae,Boehmeria tricuspis,native,N,herbaceous,lower_slope
Amaranthaceae,Achyranthes japonica,native,N,herbaceous,lower_slope
Polygonaceae,Polygonum filiforme,native,N,herbaceous,lower_slope
Polygonaceae,Polygonum thunbergii,native,N,herbaceous,lower_slope
Apiaceae,Peucedanum terebinthaceum,native,N,herbaceous,lower_slope
Cyperaceae,NA,native,N,herbaceous,lower_slope
Polygonaceae,Polygonum sagittatum,native,N,herbaceous,lower_slope
Clusiaceae,Hypericum erectum,native,N,herbaceous,lower_slope
Fabaceae,Vigna angularis var. nipponensis,native,N,herbaceous,lower_slope
Fabaceae,Glycine soja,native,N,herbaceous,lower_slope
Asteraceae,Bidens frondosa,exotic,N,herbaceous,lower_slope
Rosaceae,Geum aleppicum,native,N,herbaceous,ridge_summit
Phrymaceae,Phryma leptostachya var. oblongifolia,native,N,herbaceous,ridge_summit
Rosaceae,Agrimonia pilosa,native,N,herbaceous,ridge_summit
Asteraceae,Dendranthema boreale,native,N,herbaceous,ridge_summit
Polygonaceae,Polygonum thunbergii,native,N,herbaceous,ridge_summit
Apiaceae,Angelica decursiva,native,N,herbaceous,ridge_summit
Rosaceae,Duchesnea chrysantha,native,N,herbaceous,valley_flatland
Rosaceae,Agrimonia pilosa,native,N,herbaceous,valley_flatland
Apiaceae,Heracleum moellendorffii,native,N,herbaceous,valley_flatland
Fabaceae,Sophora flavescens,native,N,herbaceous,lower_slope
Liliaceae,Veratrum nigrum var. japonicum,native,N,herbaceous,upper_slope
Violaceae,Viola albida var. chaerophylloides,native,N,herbaceous,upper_slope
Violaceae,Viola rossii,native,N,herbaceous,upper_slope
Liliaceae,Hemerocallis dumortieri,native,N,herbaceous,upper_slope
Poaceae,Sasa borealis,native,N,herbaceous,upper_slope
Liliaceae,Heloniopsis koreana,native,N,herbaceous,upper_slope
Poaceae,Sasa borealis,native,N,herbaceous,lower_slope
Liliaceae,Smilax riparia,native,N,herbaceous,lower_slope
Lamiaceae,Meehania urticifolia,native,N,herbaceous,upper_slope
Asteraceae,Synurus deltoides,native,N,herbaceous,upper_slope
Polygonaceae,Polygonum nepalense,native,N,herbaceous,upper_slope
Lamiaceae,Nepeta cataria,native,N,herbaceous,lower_slope
Violaceae,Viola patrinii,native,N,herbaceous,lower_slope
Dryopteridaceae,Dryopteris varia,native,N,herbaceous,lower_slope
Athyriaceae,Deparia pycnosora,native,N,herbaceous,lower_slope
Liliaceae,Veratrum patulum,native,N,herbaceous,lower_slope
Poaceae,Phyllostachys nigra var. henonis,native,N,herbaceous,upper_slope
Fumariaceae,Corydalis speciosa,native,N,herbaceous,upper_slope
Asteraceae,Carpesium abrotanoides,native,N,herbaceous,upper_slope
Poaceae,Miscanthus sinensis,native,N,herbaceous,lower_slope
Violaceae,Viola mandshurica,native,N,herbaceous,lower_slope
Brassicaceae,Cardamine impatiens,native,N,herbaceous,upper_slope
Dryopteridaceae,Dryopteris varia,native,N,herbaceous,ridge_summit
Athyriaceae,Deparia pycnosora,native,N,herbaceous,ridge_summit
Brassicaceae,Cardamine impatiens,native,N,herbaceous,ridge_summit
Poaceae,Eragrostis ferruginea,native,N,herbaceous,ridge_summit
Poaceae,Arundinella hirta,native,N,herbaceous,valley_flatland
Poaceae,Microstegium vimineum,native,N,herbaceous,upper_slope
Asteraceae,Eupatorium tripartitum,native,N,herbaceous,lower_slope
Campanulaceae,Codonopsis lanceolata,native,N,herbaceous,valley_flatland
Athyriaceae,Deparia pycnosora,native,N,herbaceous,valley_flatland
Athyriaceae,Athyrium niponicum,native,N,herbaceous,valley_flatland
Liliaceae,Disporum viridescens,native,N,herbaceous,upper_slope
Poaceae,Miscanthus sinensis,native,N,herbaceous,ridge_summit
Poaceae,Calamagrostis arundinacea,native,N,herbaceous,ridge_summit
Poaceae,Cymbopogon tortilis var. goeringii,native,N,herbaceous,upper_slope
Poaceae,Imperata cylindrica var. koenigii,native,N,herbaceous,upper_slope
Asteraceae,Crepidiastrum denticulatum,native,NA,herbaceous,lower_slope
Poaceae,Phyllostachys nigra var. henonis,native,N,herbaceous,lower_slope
Asteraceae,Youngia japonica,native,N,herbaceous,lower_slope
Urticaceae,Boehmeria platanifolia,native,N,herbaceous,lower_slope
Asteraceae,Dendranthema boreale,native,N,herbaceous,lower_slope
Dryopteridaceae,Dryopteris sacrosancta,native,N,herbaceous,lower_slope
Liliaceae,Liriope spicata,native,N,herbaceous,lower_slope
Dryopteridaceae,Dryopteris sacrosancta,native,N,herbaceous,upper_slope
Liliaceae,Hosta capitata,native,N,herbaceous,upper_slope
Poaceae,Dactylis glomerata,exotic,N,herbaceous,upper_slope
Asteraceae,Hemistepta lyrata,native,N,herbaceous,lower_slope
Asteraceae,Conyza canadensis,exotic,N,herbaceous,lower_slope
Boraginaceae,Trigonotis peduncularis,native,N,herbaceous,lower_slope
Poaceae,Agropyron tsukushiense var. transiens,native,N,herbaceous,lower_slope
Apiaceae,Torilis japonica,native,N,herbaceous,lower_slope
Violaceae,Viola acuminata,native,N,herbaceous,lower_slope
Fabaceae,Lespedeza cuneata,native,N,herbaceous,lower_slope
Caryophyllaceae,Stellaria aquatica,native,N,herbaceous,lower_slope
Athyriaceae,Athyrium niponicum,native,N,herbaceous,lower_slope
Papaveraceae,Chelidonium majus var. asiaticum,native,N,herbaceous,lower_slope
Primulaceae,Lysimachia barystachys,native,N,herbaceous,lower_slope
Poaceae,Dactylis glomerata,exotic,N,herbaceous,lower_slope
Davalliaceae,Davallia mariesii,native,N,herbaceous,lower_slope
Phytolaccaceae,Phytolacca acinosa,exotic,N,herbaceous,lower_slope
Crassulaceae,Sedum bulbiferum,native,N,herbaceous,lower_slope
Caryophyllaceae,Silene aprica var. oldhamiana,native,N,herbaceous,lower_slope
Athyriaceae,Athyrium vidalii,native,N,herbaceous,lower_slope
Asteraceae,Lactuca indica var. laciniata,native,N,herbaceous,lower_slope
