species,category,growth_type,height_m,SLA_mm2_mg.1,seed_dry_mass_mg,upper_slope,lower_slope,ridge_summit,valley_flatland,NA
Geum aleppicum,native,herbaceous,0.4,22.700759000374447,1.19082857142857,1,1,1,1,0
Angelica decursiva,native,herbaceous,0.4815141052634872,31.993749901143435,3.146534964057295,1,1,1,1,0
Heracleum moellendorffii,native,herbaceous,0.5014544647821224,31.637253335265967,3.380359356771929,1,1,0,1,0
Viola rossii,native,herbaceous,0.13057855448029485,34.8556465301431,0.9617242669069861,1,1,1,1,1
Hemerocallis dumortieri,native,herbaceous,0.33304293743333074,26.044960966333683,7.644673222867305,1,1,1,1,0
Sasa borealis,native,herbaceous,2.602852983818602,15.64480718340631,0.576839820754079,1,1,1,1,0
Heloniopsis koreana,native,herbaceous,0.29014292335969205,32.95156020191196,20.31571001193135,1,1,1,1,0
Meehania urticifolia,native,herbaceous,0.26139718548569635,23.389854177397183,0.5316089966064151,1,1,1,1,0
Synurus deltoides,Aster_native,herbaceous,1.2,22.21430885729621,4.0972,1,1,1,1,0
Polygonum nepalense,native,herbaceous,0.6477676279021677,36.10062280241033,4.588013188062563,1,1,0,0,0
Nepeta cataria,native,herbaceous,0.675916666666667,14.618102370000004,0.533345,1,1,0,1,0
Viola patrinii,native,herbaceous,0.14669153683084868,33.675506629564076,0.9292968957285821,0,1,0,0,0
Dryopteris varia,native,herbaceous,0.5565432791699102,26.937084495541214,1.3432687595218122,1,1,1,1,1
Deparia pycnosora,native,herbaceous,0.7739157170113009,26.617177550918683,1.4017982137973735,1,1,1,1,0
Veratrum patulum,native,herbaceous,0.3031769418360545,33.02330372010972,23.833387515467113,1,1,0,1,0
Corydalis speciosa,native,herbaceous,0.32269199405820537,31.61849003138039,2.191884862351129,1,1,1,1,0
Carpesium abrotanoides,Aster_native,herbaceous,0.5,28.24511620611936,0.37220235400595136,1,1,1,1,0
Cardamine impatiens,native,herbaceous,0.467307692307692,33.8,0.217987942857143,1,1,1,1,0
Microstegium vimineum,native,herbaceous,1.1198605999782307,16.181411831301823,0.4572911995245651,1,1,1,1,0
Eupatorium tripartitum,Aster_native,herbaceous,1.1156548378976878,12.417408135474943,0.057567936908156495,1,1,0,1,0
Codonopsis lanceolata,native,herbaceous,0.19397410528913736,25.791645530445276,0.6710387598256718,1,1,1,1,0
Disporum viridescens,native,herbaceous,0.3047884538895177,32.965503362804284,19.77428772608685,1,1,1,1,0
Youngia japonica,Aster_native,herbaceous,0.8132945317782075,27.466188647272876,0.0764,1,1,0,1,0
Dryopteris sacrosancta,native,herbaceous,0.5565432791699102,26.937084495541214,1.3432687595218122,1,1,1,1,0
Liriope spicata,native,herbaceous,0.28536681754101273,23.835529549107672,31.763768099999993,1,1,1,1,0
Hosta capitata,native,herbaceous,0.30985270425285855,23.48318677838742,3.798129390169399,1,1,1,1,0
Trigonotis peduncularis,native,herbaceous,0.526292318911843,26.930281170174425,0.567049569056101,1,1,1,1,0
Torilis japonica,native,herbaceous,0.592433333333333,26.3566666666667,1.83193333333333,1,1,1,1,0
Davallia mariesii,native,herbaceous,0.7055437913594069,27.092026321503386,1.3205853667778364,1,1,1,0,0
Sedum bulbiferum,native,herbaceous,0.2176561339086094,36.58177771460136,0.3218849766054614,0,1,0,0,0
Cleistogenes hackelii,native,herbaceous,0.43465245082495435,20.66157655967182,0.453751930672755,1,1,1,1,0
Cynanchum wilfordii,native,herbaceous,1.1761666198977414,26.73695085309739,0.23848433992694384,1,1,0,1,0
Thalictrum minus,native,herbaceous,0.597565079366667,20.374515576433005,1.6600544,1,1,0,0,0
Leibnitzia anandria,Aster_native,herbaceous,0.9363152515138112,22.04112448677235,1.9947031532599118,1,1,1,0,0
Iris rossii,native,herbaceous,0.4030436988995744,25.58207302727889,7.338387901482934,1,1,1,1,0
Potentilla freyniana,native,herbaceous,0.12260887824874972,19.36379365536454,0.22000000000000003,1,1,1,1,0
Cynanchum paniculatum,native,herbaceous,1.1761666198977414,26.73695085309739,0.23848433992694384,1,1,1,1,0
Asplenium incisum,native,herbaceous,0.6498907585560617,26.48524361501866,1.8406934385315759,1,1,1,1,0
Viola keiskei,native,herbaceous,0.1293009063123999,33.644838276589034,1.5382422840056675,1,1,1,1,0
Dioscorea nipponica,native,herbaceous,0.34220317840102565,48.637448076,7.683381407505886,1,1,1,1,0
Aster ageratoides,Aster_native,herbaceous,3.621269570545101,10.24421942299867,0.9443018017244886,1,1,1,1,0
Veratrum versicolor,native,herbaceous,0.3031769418360545,33.02330372010972,23.931143840838452,1,1,0,1,0
Pimpinella brachycarpa,native,herbaceous,0.5641596315504535,30.046134188933593,3.912,1,1,1,1,0
Vicia chosenensis,native,herbaceous,0.2720896532977329,36.53653269886438,7.516470181057559,1,1,1,1,0
Lespedeza davurica,native,herbaceous,0.6527452805879493,16.7186492836933,7.07,1,0,1,0,0
Fallopia dumetorum,native,herbaceous,1.90454545454545,31.231999999999996,3.16802857142857,1,1,1,1,0
Berteroella maximowiczii,native,herbaceous,0.44811647654904313,30.434119397932186,0.43599769245793163,1,1,0,1,0
Agropyron ciliare,native,herbaceous,0.2943555436749381,15.006359167748855,2.1805449668340158,1,0,0,0,0
Galium pogonanthum,native,herbaceous,0.6350015099001417,28.293369021421977,0.2368,1,1,1,1,0
Galium dahuricum,native,herbaceous,0.6548684881871838,28.37468079429047,0.30534399298933707,1,1,1,1,0
Hemerocallis minor,native,herbaceous,0.3278434453694325,25.68050230059015,6.9191542586600034,1,1,1,1,0
Anaphalis sinica,Aster_native,herbaceous,0.5634284122343932,28.639035102855964,0.07371654801229882,1,0,0,0,0
Potentilla yokusaiana,native,herbaceous,0.113314295333255,19.210311345784262,0.19370814328602107,1,0,0,0,0
Dioscorea septemloba,native,herbaceous,0.3409424432500494,41.033298359193935,9.40192924565031,1,1,1,1,1
Viola yedoensis,native,herbaceous,0.20422938231341997,38.30269566770396,0.3686270851542604,1,1,0,1,0
Campanula punctata,native,herbaceous,0.1875558363520754,26.042421743081015,0.6757782193469265,1,1,1,1,0
Allium sacculiferum,native,herbaceous,0.30951006162160716,23.7572151483975,3.5793163054085637,1,1,1,0,0
Pseudolysimachion pyrethrinum,native,herbaceous,0.2872240694945424,27.3741629615945,0.3854900757827628,1,0,0,0,0
Carpesium cernuum,Aster_native,herbaceous,0.5,28.383454220175647,0.726666666666667,1,1,0,0,0
Viola variegata,native,herbaceous,0.15362704243785003,34.98821838999999,0.8552819271326161,1,1,1,1,0
Lilium amabile,native,herbaceous,0.3014193689834412,32.857966273805616,18.133940821552894,1,1,1,1,0
Ambrosia artemisiifolia,Aster_exotic,herbaceous,0.472766909978102,16.8691128156632,37.4986206896552,1,1,1,1,1
Carex breviculmis,native,herbaceous,0.057199999999999994,28.564509090704686,0.6415,1,1,1,1,0
Hemerocallis hakuunensis,native,herbaceous,0.3278434453694325,25.68050230059015,6.9191542586600034,1,1,1,1,0
Swertia scabra,native,herbaceous,1.1761666198977414,26.73695085309739,0.22477211982384085,1,1,1,0,0
Swertia pseudochensis,native,herbaceous,1.0470162962145952,26.782991887167945,0.04000000000000001,1,1,0,0,0
Zoysia japonica,native,herbaceous,0.6320176840156394,19.51771687341875,0.3823062383803747,1,1,0,1,0
Festuca parvigluma,native,herbaceous,0.45606172177124454,16.610420028179316,0.9692,1,1,0,1,0
Conyza sumatrensis,Aster_exotic,herbaceous,0.743125,18.94207049230673,0.12660660301316973,0,1,0,0,0
Arenaria serpyllifolia,native,herbaceous,0.143857142857143,21.4630419824555,0.07129121951219511,0,1,0,1,0
Cardamine fallax,native,herbaceous,0.14749999999999996,36.77,0.09570000000000001,0,1,0,1,0
Prunella asiatica,native,herbaceous,0.13208962149450504,26.6890422902645,0.788349387856702,1,1,0,1,0
Agrimonia coreana,native,herbaceous,0.5069059346087597,24.13620856929117,3.0186136531405703,1,1,1,1,0
Lilium callosum,native,herbaceous,0.3014193689834412,32.857966273805616,18.133940821552894,1,1,0,0,0
Scilla scilloides,native,herbaceous,0.30501051189000616,23.636666758269516,2.74,1,1,1,1,0
Cephalanthera erecta,native,herbaceous,0.36831988593070736,26.07272979806407,6.93388931746553,1,1,1,1,0
Mosla punctulata,native,herbaceous,0.5291719344690305,21.80955475531449,0.28085796866504703,1,1,1,0,1
Bidens bipinnata,Aster_native,herbaceous,0.65,55.55555555555559,2.76,1,1,1,1,0
Boehmeria longispica,native,herbaceous,0.24393980767289392,37.03228742632289,4.958754009657949,1,1,0,1,0
Elsholtzia ciliata,native,herbaceous,0.375,21.96690425798157,0.21499999999999997,1,1,1,1,0
Melica scabrosa,native,herbaceous,0.48796349498260355,16.175254156684264,1.1038928402869337,0,1,1,1,0
Rhaponticum uniflorum,Aster_native,herbaceous,1.0482967991031553,21.641663857093246,2.4902952305783344,1,1,0,0,0
Corchoropsis psilocarpa,native,herbaceous,0.48440499868481024,28.461804915122073,1.9496424503007395,1,0,1,0,0
Pinellia ternata,native,herbaceous,0.36979271193793434,35.18457706796073,10.829764491044635,1,1,1,1,0
Polygala japonica,native,herbaceous,0.47564596135221093,30.96965074448401,2.703483480971178,0,1,0,0,0
Asparagus oligoclonos,native,herbaceous,0.3359181740651517,23.63814521873317,27.377469713908546,1,0,0,1,0
Festuca ovina,native,herbaceous,0.327624400825186,18.876049786382097,1.08827605848931,1,1,1,1,0
Artemisia capillaris,Aster_native,herbaceous,1.171939124124562,19.937193275,0.0547291305273902,1,1,1,0,0
Bromus japonicus,native,herbaceous,0.338485714285714,10.879407923378299,2.71869333333333,1,1,1,1,0
Potentilla chinensis,native,herbaceous,0.15765275644096768,16.409022660000005,0.2723083482364878,1,0,1,0,0
Stipa pekinensis,native,herbaceous,1.0112517238640488,16.227319734139243,0.5720492723722225,1,1,1,1,0
Botrychium ternatum,native,herbaceous,0.3252994301826274,29.875208001483383,3.1284859733572374,1,1,1,1,1
Polygonum posumbu,native,herbaceous,0.6251172654861119,34.14934970321146,1.5,1,1,0,1,0
Lespedeza tomentosa,native,herbaceous,0.5988154222240664,14.484745760000003,1.86,0,1,0,0,0
Dryopteris bissetiana,native,herbaceous,0.5565432791699102,26.937084495541214,1.3432687595218122,1,1,0,1,0
Asperula maximowiczii,native,herbaceous,1.0227576770133808,27.02285789706728,0.9170685523461181,1,1,1,1,0
Liriope platyphylla,native,herbaceous,0.1524,23.73015424706841,8.516856312794737,1,1,1,1,0
Polygonatum involucratum,native,herbaceous,0.26630872961501184,23.454582119032164,15.048590501528224,1,1,1,1,0
Artemisia montana,Aster_native,herbaceous,0.9598792777587276,15.684975726056733,0.07235664989071318,1,1,1,1,0
Dioscorea tokoro,native,herbaceous,0.3409424432500494,41.033298359193935,10.548516305180764,1,1,1,1,0
Arisaema heterophyllum,native,herbaceous,0.3652264362522282,35.16279778471417,12.092200866080924,1,1,1,1,0
Chloranthus japonicus,native,herbaceous,0.3002697729988729,48.131821925,1.66261718117859,1,1,1,1,1
Carex okamotoi,native,herbaceous,0.17703188155198635,31.053897917598388,0.6661762660535737,1,1,1,1,0
Agastache rugosa,native,herbaceous,0.2550008982394288,23.664142581582706,0.4274,1,1,1,1,0
Muhlenbergia japonica,native,herbaceous,0.43465245082495435,20.66157655967182,0.453751930672755,0,1,0,0,0
Artemisia feddei,Aster_native,herbaceous,1.0531557409252574,14.951648010361941,0.06003626668862904,1,1,0,0,0
Carex forficula,native,herbaceous,0.19000719954083112,22.115818114094626,0.9471158690282947,1,1,0,1,0
Aristolochia contorta,native,herbaceous,0.28422251703847823,38.84496474932322,2.601284710481711,1,1,0,1,0
Deparia conilii,native,herbaceous,0.7739157170113009,26.617177550918683,1.4017982137973735,1,1,0,1,0
Sasa japonica,native,herbaceous,5.33333333333333,14.257257616959102,0.502592232402273,1,1,1,0,0
Chamaecrista nomame,native,herbaceous,0.748144815127085,26.03852158166474,4.401502306898814,0,1,1,1,0
Melampyrum roseum,native,herbaceous,0.20000000000000004,22.622414611401943,0.25023569384007166,1,1,1,1,0
Polygonum longisetum,native,herbaceous,0.6306034112674855,36.792187990836425,1.33,1,1,1,1,0
Angelica gigas,native,herbaceous,0.4486543340550731,31.905964874390417,3.2351999999999994,1,1,1,1,0
Dryopteris erythrosora,native,herbaceous,0.5463761547259222,27.016705187121715,1.3432687595218122,1,1,1,1,1
Phragmites communis,native,herbaceous,1.66747806122424,14.983304614513399,0.114481379310345,1,1,0,1,0
Isachne globosa,native,herbaceous,0.6073311285073442,22.204340067879755,0.6969,1,1,0,0,0
Moliniopsis japonica,native,herbaceous,0.6485118270935787,23.51233214491865,1.0551621595224558,1,0,1,1,0
Lobelia sessilifolia,native,herbaceous,0.19748852103541337,25.4115372735614,0.6407815332531345,1,0,0,0,0
Scutellaria indica,native,herbaceous,1.0146011198490312,20.98404428555153,0.14,1,1,1,1,1
Euphorbia esula,native,herbaceous,0.25006253377926757,37.02217795015214,0.5719892049274863,1,0,0,0,0
Artemisia sylvatica,Aster_native,herbaceous,0.9598792777587276,15.718560436150577,0.07468259239481366,1,1,1,0,0
